App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,1857,4.9M,"50,000+",Free,0,Everyone,Books & Reference,03-Aug-18,1.3.2,4.4 and up
Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478,9.5M,"100,000+",Free,0,Everyone 10+,Books & Reference,31-Jul-17,1.1,4.0 and up
Wikipedia,BOOKS_AND_REFERENCE,4.4,577550,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,02-Aug-18,Varies with device,Varies with device
Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080,Varies with device,"100,000,000+",Free,0,Teen,Books & Reference,27-Jul-18,Varies with device,Varies with device
Visual Voicemail by MetroPCS,BUSINESS,4.1,16129,Varies with device,"10,000,000+",Free,0,Everyone,Business,30-Jul-18,Varies with device,Varies with device
Indeed Job Search,BUSINESS,4.3,674730,Varies with device,"50,000,000+",Free,0,Everyone,Business,21-May-18,Varies with device,Varies with device
Messenger – Text and Video Chat for Free,COMMUNICATION,4,56642847,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,01-Aug-18,Varies with device,Varies with device
WhatsApp Messenger,COMMUNICATION,4.4,69119316,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,03-Aug-18,Varies with device,Varies with device
Messenger for SMS,COMMUNICATION,4.3,125257,17M,"10,000,000+",Free,0,Teen,Communication,06-Jun-18,1.8.9,4.1 and up
Google Chrome: Fast & Secure,COMMUNICATION,4.3,9642995,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,01-Aug-18,Varies with device,Varies with device
"Moco+ - Chat, Meet People",DATING,4.2,1545,Varies with device,"10,000+",Paid,3.99,Mature 17+,Dating,19-Jun-18,2.6.139,4.1 and up
Calculator,DATING,2.6,57,6.2M,"1,000+",Paid,6.99,Everyone,Dating,25-Oct-17,1.1.6,4.0 and up
Truth or Dare Pro,DATING,NaN,0,20M,50+,Paid,1.49,Teen,Dating,01-Sep-17,1,4.0 and up
"Private Dating, Hide App- Blue for PrivacyHider",DATING,NaN,0,18k,100+,Paid,2.99,Everyone,Dating,25-Jul-17,1.0.1,4.0 and up
Ad Blocker for SayHi,DATING,NaN,4,1.2M,100+,Paid,3.99,Teen,Dating,02-Aug-18,1.2,4.0.3 and up
AMBW Dating App: Asian Men Black Women Interracial,DATING,3.5,2,17M,100+,Paid,7.99,Mature 17+,Dating,21-Jan-17,1.0.1,4.0 and up
Zoosk Dating App: Meet Singles,DATING,4,516801,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,02-Aug-18,Varies with device,Varies with device
Duolingo: Learn Languages Free,EDUCATION,4.7,6289924,Varies with device,"100,000,000+",Free,0,Everyone,Education;Education,01-Aug-18,Varies with device,Varies with device
TED,EDUCATION,4.6,181893,18M,"10,000,000+",Free,0,Everyone 10+,Education,27-Jul-18,3.2.5,4.1 and up
English Communication - Learn English for Chinese (Learn English for Chinese),EDUCATION,4.7,2544,18M,"100,000+",Free,0,Everyone,Education,29-Dec-17,3.1,4.0 and up
Khan Academy,EDUCATION,4.6,85375,21M,"5,000,000+",Free,0,Everyone,Education,27-Jul-18,5.0.0,4.1 and up
Universal Kids,ENTERTAINMENT,3.6,1968,21M,"500,000+",Free,0,Everyone,Entertainment;Music & Video,24-May-18,3.3.1.41,4.4 and up
MTV,ENTERTAINMENT,3.8,35279,15M,"1,000,000+",Free,0,Teen,Entertainment,08-Jul-18,11.45.0,4.4 and up
All Events in City,EVENTS,4,3782,9.5M,"100,000+",Free,0,Everyone,Events,12-Jun-18,8.4,4.0.3 and up
Ticketmaster Event Tickets,EVENTS,4,40113,36M,"5,000,000+",Free,0,Everyone,Events,23-Jul-18,Varies with device,Varies with device
Reminder,EVENTS,4.5,7074,6.3M,"500,000+",Free,0,Everyone,Events,25-Jun-18,1.57,4.1 and up
Birdays - Birthday reminder,EVENTS,4.5,2153,5.9M,"50,000+",Free,0,Everyone,Events,14-Dec-17,1.5.0,4.1 and up
"StubHub - Tickets to Sports, Concerts & Events",EVENTS,4,26089,Varies with device,"5,000,000+",Free,0,Everyone,Events,02-Aug-18,4.2.1,Varies with device
McDonald's,FOOD_AND_DRINK,3.6,145323,42M,"10,000,000+",Free,0,Everyone,Food & Drink,31-Jul-18,5.15.0,4.4 and up
Easy and Fast Recipes,FOOD_AND_DRINK,NaN,95,12M,"50,000+",Free,0,Everyone,Food & Drink,06-Jan-18,3.0.1,2.3 and up
Cookpad - FREE recipe search makes fun cooking · musical making!,FOOD_AND_DRINK,4.1,64784,13M,"10,000,000+",Free,0,Everyone,Food & Drink,02-Aug-18,18.6.0.10,5.0 and up
Fitbit Coach,HEALTH_AND_FITNESS,4.6,28951,60M,"1,000,000+",Free,0,Everyone,Health & Fitness,16-Jul-18,4.4,4.4 and up
"JEFIT Workout Tracker, Weight Lifting, Gym Log App",HEALTH_AND_FITNESS,4.5,60096,27M,"5,000,000+",Free,0,Teen,Health & Fitness,"April 7, 2018",10,4.0.3 and up
Houlihan Lawrence,LIFESTYLE,4.4,33,23M,"5,000+",Free,0,Everyone,Lifestyle,12-Oct-17,3.9.5,4.2 and up
ROBLOX,GAME,4.5,4447388,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,31-Jul-18,2.347.225742,4.1 and up
Subway Surfers,GAME,4.5,27722264,76M,"1,000,000,000+",Free,0,Everyone 10+,Arcade,12-Jul-18,1.90.0,4.1 and up
Candy Crush Saga,GAME,4.4,22426677,74M,"500,000,000+",Free,0,Everyone,Casual,05-Jul-18,1.129.0.2,4.1 and up
Solitaire,GAME,4.7,254258,23M,"10,000,000+",Free,0,Everyone,Card,01-Aug-18,2.137.0,4.1 and up
